bjd,selfrv,selfrv_err,maskrv,maskrv_err,fwhm,fwhm_err,flux_asym,flux_asym_err,bis,bis_err
2460669.57258621,-0.005648997895435961,0.0034774646178250775,1.54483598226778,0.00182242345880485,3.2230235002767,0.0036448469176097,-0.00438617899514018,0.00124975043602705,-0.000360383242867801,0.0036448469176097
2460666.62970236,-0.0035710218886981383,0.0024092559168335014,1.54868979072392,0.00194247092355235,3.21474209015489,0.0038849418471047,-0.00460072219895421,0.00134391892406067,-0.000749844310701464,0.0038849418471047
2460880.86464896,0.003600198145564705,0.0013891046763872719,1.56371052345687,0.00185021961816262,3.20731208075062,0.00370043923632524,-0.00320361590344883,0.00127520744229414,-0.00522615934654969,0.00370043923632524
2460650.54084779,0.012820190900139607,0.002345752601515611,1.57283248073751,0.00341474171616863,3.21920514449312,0.00682948343233726,-0.000923441870239456,0.00232295423026398,-0.00220790913409785,0.00682948343233726
2460676.56027529,-0.007339950083909067,0.0019349373739975053,1.54580106791918,0.00158877078092321,3.20662601412077,0.00317754156184641,-0.00388775989574942,0.00109225414172512,0.00469532436832565,0.00317754156184641
2460872.88048528,0.00561107986479183,0.002155208617811993,1.56247877001817,0.00211465039159783,3.2079398612277,0.00422930078319567,-0.00338367297290352,0.00146055442832432,-0.00490137410525415,0.00422930078319567
2460701.55669414,-0.01816997545320044,0.0038046349558079544,1.53994160451689,0.00199164228099851,3.20191595909615,0.00398328456199703,-0.00438155075959266,0.0013823665303706,0.00738236864252162,0.00398328456199703
2460950.6966869,0.002653872186374585,0.002981624086626759,1.56132348520166,0.00239354253842827,3.20788575140051,0.00478708507685655,-0.00133378814799545,0.00166423871309763,-0.0082636922107957,0.00478708507685655
2460951.74851833,-0.004835442727867448,0.002735023089747199,1.55228685554729,0.00166118072562899,3.20057895736594,0.00332236145125798,-0.00361943991542098,0.00116002742573702,0.00687473079557033,0.00332236145125798
2460951.77179152,-0.0008767969706809614,0.0018695782555324639,1.55307049132856,0.00163868910074711,3.20178289049648,0.00327737820149423,-0.00242158769303814,0.00114364584200674,-0.00377357932173084,0.00327737820149423
2460961.74413363,0.003987068991684098,0.0019271266729925418,1.58187470966144,0.00130889671476394,3.16383952752326,0.00261779342952788,-0.0083316717530764,0.000842092433081532,0.00896587240417213,0.00261779342952788
2460962.73141491,-0.00700053903956058,0.0015131062268421776,1.55538760381919,0.00164786024675404,3.207533654669,0.00329572049350808,-0.0027135369573435,0.00114781771140622,0.0015619251658936,0.00329572049350808
2460963.78237876,0.007724376655169856,0.0012557865146650624,1.55928398309908,0.00137972520515436,3.20078101495596,0.00275945041030872,-0.00388313384867558,0.000964688517662032,0.00533728066954309,0.00275945041030872
2460965.77504915,0.0060310337347938454,0.002047935315559935,1.56369690857258,0.0019384205377212,3.19130426089536,0.0038768410754424,-0.00485899857443616,0.00134827705438134,0.00432460946968449,0.0038768410754424
2460966.69675282,0.01829971860055079,0.001342936448363573,1.58557961347579,0.00163638803740973,3.20942011965968,0.00327277607481946,-0.00172441505863773,0.00112999828820237,-0.00955309291461481,0.00327277607481946
2460967.74989545,-0.008832288657526482,0.0014714443555471565,1.54452866156682,0.00144895412581392,3.22206083261918,0.00289790825162784,-0.00440966492507197,0.00099436466974729,-0.00450024309452646,0.00289790825162784
2460968.62354988,-0.002826142320813679,0.0012697594934801657,1.56086043806476,0.00176614032563593,3.20188157558707,0.00353228065127187,-0.00346871620289043,0.0012289759721425,-0.0013749199711357,0.00353228065127187
2460980.68869054,-0.013668523810333715,0.0019990978635982923,1.54715255924222,0.0015395169831408,3.20364279585998,0.00307903396628159,-0.00331735483321652,0.00106722703273077,0.00518774540769118,0.00307903396628159
2460994.60012398,0.0019728949521519348,0.0011422014148404728,1.56613043421441,0.00190768698461927,3.19288343848339,0.00381537396923854,-0.00242588607439537,0.00133733817490307,0.000718341833330083,0.00381537396923854
2460997.76500332,0.014555641526141078,0.0031894450072346226,1.58001149628355,0.00237125428295695,3.22408322303511,0.0047425085659139,-0.00104683714122343,0.0016199743286293,-0.00991907769767364,0.0047425085659139
